videoID,resolution,size(MB),duration(s)
x7rl2gf,240p,5.3,171
x7rl2gf,144p,2.3,171
x7r4rdp,1080p,202,260
x7r4rdp,720p,70,260
x7r4rdp,480p,27,260
x7r4rdp,360p,15,260
x7r4rdp,240p,8,260
x7r4rdp,144p,3,260
x7r4ueh,1080p,238,307
x7r4ueh,720p,82,307
x7r4ueh,480p,32,307
x7r4ueh,360p,17,307
x7r4ueh,240p,9,307
x7r4ueh,144p,4,307
x7rhd42,1080p,111,83
x7rhd42,720p,38,83
x7rhd42,480p,14,83
x7rhd42,360p,8,83
x7rhd42,240p,4,83
x7rhd42,144p,1,83
x7reqcp,1080p,65,84
x7reqcp,720p,22,84
x7reqcp,480p,8,84
x7reqcp,360p,4,84
x7reqcp,240p,2,84
x7reqcp,144p,1,84
x7rgbih,1080p,70,90
x7rgbih,720p,24,90
x7rgbih,480p,9,90
x7rgbih,360p,5,90
x7rgbih,240p,2,90
x7rgbih,144p,1,90
x7rhd6r,1080p,45,58
x7rhd6r,720p,15,58
x7rhd6r,480p,6,58
x7rhd6r,360p,3,58
x7rhd6r,240p,1.8,58
x7rhd6r,144p,0.7,58
x7rfwew,1080p,102,132
x7rfwew,720p,35,132
x7rfwew,480p,13,132
x7rfwew,360p,7,132
x7rfwew,240p,4,132
x7rfwew,144p,1,132
x7rg1zm,1080p,46,60
x7rg1zm,720p,16,60
x7rg1zm,480p,6,60
x7rg1zm,360p,3,60
x7rg1zm,240p,1,60
x7rg1zm,144p,0.7,60
x7rkigk,1080p,40,51
x7rkigk,720p,13,51
x7rkigk,480p,5,51
x7rkigk,360p,2,51
x7rkigk,240p,1,51
x7rkigk,144p,0.6,51
x7rkcsr,1080p,48,62
x7rkcsr,720p,16,62
x7rkcsr,480p,6,62
x7rkcsr,360p,3,62
x7rkcsr,240p,1,62
x7rkcsr,144p,0.8,62
x7rlnx3,1080p,88,114
x7rlnx3,720p,30,114
x7rlnx3,480p,11,114
x7rlnx3,360p,7,114
x7rlnx3,240p,4,114
x7rlnx3,144p,1,114
x7qxli1,1080p,51,60
x7qxli1,720p,17,60
x7qxli1,480p,6,60
x7qxli1,360p,3,60
x7qxli1,240p,2,60
x7qxli1,144p,0.8,60
x7gt0b0,1080p,113,146
x7gt0b0,720p,39,146
x7gt0b0,480p,15,146
x7gt0b0,360p,8,146
x7gt0b0,240p,4,146
x7gt0b0,144p,1,146
x7m425o,1080p,103,146
x7m425o,720p,35,146
x7m425o,480p,13,146
x7m425o,360p,7,146
x7m425o,240p,4,146
x7m425o,144p,1,146
x4nq6m8,1080p,101,131
x4nq6m8,720p,35,131
x4nq6m8,480p,13,131
x4nq6m8,360p,7.7,131
x4nq6m8,240p,4.5,131
x4nq6m8,144p,1.1,131
x7m41b1,1080p,103,133
x7m41b1,720p,35,133
x7m41b1,480p,13,133
x7m41b1,360p,7.7,133
x7m41b1,240p,4.1,133
x7m41b1,144p,1.1,133
x7lr802,1080p,101,131
x7lr802,720p,35,131
x7lr802,480p,13,131
x7lr802,360p,7.7,131
x7lr802,240p,4.1,131
x7lr802,144p,1.1,131
x65yrh7,720p,83,312
x65yrh7,480p,32,312
x65yrh7,360p,18,312
x65yrh7,240p,9,312
x65yrh7,144p,4,312
x7rihcv,1080p,54,70
x7rihcv,720p,18,70
x7rihcv,480p,7,70
x7rihcv,360p,4,70
x7rihcv,240p,2,70
x7rihcv,144p,0.9,70
x7rj9ei,1080p,77,100
x7rj9ei,720p,26,100
x7rj9ei,480p,10,100
x7rj9ei,360p,5,100
x7rj9ei,240p,3,100
x7rj9ei,144p,1.1,100
x4qazq3,720p,108,405
x4qazq3,480p,42,405
x4qazq3,360p,23,405
x4qazq3,240p,12,405
x4qazq3,144p,5,405
x7ne4sr,720p,202,720
x7ne4sr,480p,78,720
x7ne4sr,360p,43,720
x7ne4sr,240p,23,720
x7ne4sr,144p,9,720
x7mb1l2,720p,24,252
x7mb1l2,480p,14,252
x7mb1l2,360p,7,252
x7mb1l2,240p,3,252
x7rks23,1080p,187,240
x7rks23,720p,64,240
x7rks23,480p,25,240
x7rks23,360p,13,240
x7rks23,240p,7,240
x7rks23,144p,3,240
x7qvtni,1080p,72,93
x7qvtni,720p,25,93
x7qvtni,480p,10,93
x7qvtni,360p,5.5,93
x7qvtni,240p,3,93
x7qvtni,144p,1,93
x7mjmsx,720p,200,643
x7mjmsx,480p,77,643
x7mjmsx,360p,42,643
x7mjmsx,240p,22,643
x7mjmsx,144p,9,643
x32mz1y,720p,57,222
x32mz1y,480p,23,222
x32mz1y,360p,12,222
x32mz1y,240p,6,222
x32mz1y,144p,2.8,222
x3hbto,1080p,498,640
x3hbto,720p,172,640
x3hbto,480p,67,640
x3hbto,360p,37,640
x3hbto,240p,20,640
x3hbto,144p,2,640
x6l3ut6,1080p,240,360
x6l3ut6,720p,84,360
x6l3ut6,480p,33,360
x6l3ut6,360p,18,360
x6l3ut6,240p,10,360
x6l3ut6,144p,4,360
x6l3ut7,1080p,77,100
x6l3ut7,720p,27,100
x6l3ut7,480p,10,100
x6l3ut7,360p,5.7,100
x6l3ut7,240p,3,100
x6l3ut7,144p,1.3,100
x6l3ut9,1080p,131,188
